id,team_id,year,att,made,range
488,3,1973,6,5,2
489,3,1973,8,4,3
490,3,1973,0,0,4
491,3,1973,0,0,5
492,4,1973,5,5,0
493,4,1973,5,5,1
494,4,1973,9,8,2
495,4,1973,9,3,3
496,4,1973,0,0,4
497,4,1973,0,0,5
498,5,1973,4,4,0
499,5,1973,8,7,1
500,5,1973,7,4,2
501,5,1973,11,7,3
502,5,1973,0,0,4
503,5,1973,0,0,5
504,7,1973,4,4,0
505,7,1973,7,6,1
506,7,1973,12,10,2
507,7,1973,8,3,3
508,7,1973,0,0,4
509,7,1973,0,0,5
510,8,1973,5,5,0
511,8,1973,7,5,1
512,8,1973,5,2,2
513,8,1973,8,0,3
514,8,1973,0,0,4
515,8,1973,0,0,5
516,9,1973,6,5,0
517,9,1973,4,3,1
518,9,1973,10,8,2
519,9,1973,15,8,3
520,9,1973,0,0,4
521,9,1973,0,0,5
522,10,1973,6,6,0
523,10,1973,8,6,1
524,10,1973,6,4,2
525,10,1973,5,0,3
526,10,1973,0,0,4
527,10,1973,0,0,5
528,12,1973,10,10,0
529,12,1973,8,6,1
530,12,1973,7,3,2
531,12,1973,3,0,3
532,12,1973,0,0,4
533,12,1973,0,0,5
534,13,1973,5,5,0
535,13,1973,10,8,1
536,13,1973,9,6,2
537,13,1973,9,5,3
538,13,1973,0,0,4
539,13,1973,0,0,5
540,14,1973,7,7,0
541,14,1973,7,4,1
542,14,1973,11,7,2
543,14,1973,9,4,3
544,14,1973,0,0,4
545,14,1973,0,0,5
546,15,1973,5,5,0
547,15,1973,10,7,1
548,15,1973,9,6,2
549,15,1973,12,7,3
550,15,1973,0,0,4
551,15,1973,0,0,5
552,16,1973,7,7,0
553,16,1973,6,5,1
554,16,1973,4,1,2
555,16,1973,10,4,3
556,16,1973,0,0,4
557,16,1973,0,0,5
558,18,1973,4,4,0
559,18,1973,6,5,1
560,18,1973,7,5,2
561,18,1973,6,3,3
562,18,1973,0,0,4
563,18,1973,0,0,5
564,19,1973,4,4,0
565,19,1973,6,3,1
566,19,1973,15,12,2
567,19,1973,6,1,3
568,19,1973,0,0,4
569,19,1973,0,0,5
570,30,1973,4,4,0
571,30,1973,2,2,1
572,30,1973,8,6,2
573,30,1973,8,3,3
574,30,1973,0,0,4
575,30,1973,0,0,5
576,20,1973,7,7,0
577,20,1973,6,4,1
578,20,1973,12,8,2
579,20,1973,7,2,3
580,20,1973,0,0,4
581,20,1973,0,0,5
582,22,1973,8,6,0
583,22,1973,3,2,1
584,22,1973,8,4,2
585,22,1973,7,3,3
586,22,1973,0,0,4
587,22,1973,0,0,5
588,23,1973,10,10,0
589,23,1973,8,7,1
590,23,1973,4,3,2
591,23,1973,11,3,3
592,23,1973,0,0,4
593,23,1973,0,0,5
