id,team_id,year,ret,yds,td,20_plus,40_plus,lng,fc,fum
227,16,1978,60,1081,0,0,0,40,0,0
228,18,1978,67,1509,0,0,0,40,0,0
229,19,1978,51,1129,0,0,0,60,0,0
230,30,1978,58,1304,0,0,0,60,0,0
231,20,1978,52,1085,1,0,0,95,0,0
232,22,1978,55,1172,0,0,0,60,0,0
233,23,1978,60,1233,0,0,0,56,0,0
234,24,1978,52,1055,0,0,0,41,0,0
235,11,1978,58,1352,1,0,0,99,0,0
236,26,1978,65,1384,0,0,0,39,0,0
237,27,1978,67,1510,0,0,0,38,0,0
238,28,1978,44,1043,1,0,0,95,0,0
239,31,1978,55,1057,0,0,0,38,0,0
240,0,1979,75,1538,1,0,0,85,0,0
241,1,1979,51,1054,1,0,0,83,0,0
242,2,1979,81,1560,0,0,0,36,0,0
243,3,1979,59,1131,0,0,0,36,0,0
244,4,1979,50,966,0,0,0,37,0,0
245,5,1979,75,1531,0,0,0,45,0,0
246,6,1979,51,959,0,0,0,31,0,0
247,7,1979,71,1609,1,0,0,106,0,0
248,8,1979,50,1066,0,0,0,41,0,0
249,9,1979,51,1004,0,0,0,52,0,0
250,10,1979,70,1402,0,0,0,58,0,0
251,12,1979,68,1316,0,0,0,70,0,0
252,13,1979,51,1148,0,0,0,43,0,0
253,14,1979,56,1261,1,0,0,92,0,0
254,15,1979,73,1370,0,0,0,33,0,0
255,16,1979,67,1255,0,0,0,75,0,0
256,18,1979,76,1561,0,0,0,52,0,0
257,19,1979,78,1569,0,0,0,69,0,0
258,30,1979,67,1234,0,0,0,37,0,0
259,20,1979,61,1295,1,0,0,100,0,0
260,22,1979,66,1239,0,0,0,38,0,0
261,23,1979,65,1475,1,0,0,104,0,0
262,24,1979,66,1292,0,0,0,55,0,0
263,11,1979,55,1145,0,0,0,38,0,0
264,26,1979,66,1319,0,0,0,39,0,0
265,27,1979,70,1444,0,0,0,39,0,0
266,28,1979,51,987,0,0,0,44,0,0
267,31,1979,61,1380,0,0,0,83,0,0
268,0,1980,75,1385,1,0,0,101,0,0
269,1,1980,56,1153,1,0,0,95,0,0
270,2,1980,68,1199,0,0,0,40,0,0
271,3,1980,47,827,0,0,0,43,0,0
272,4,1980,62,1290,0,0,0,53,0,0
273,5,1980,63,1308,0,0,0,50,0,0
274,6,1980,67,1294,0,0,0,54,0,0
275,7,1980,65,1297,0,0,0,40,0,0
276,8,1980,62,1135,0,0,0,44,0,0
277,9,1980,62,1249,0,0,0,47,0,0
278,10,1980,67,1383,0,0,0,44,1,0
279,12,1980,58,1259,0,0,0,41,0,0
280,13,1980,61,1234,0,0,0,87,0,0
281,14,1980,53,955,0,0,0,39,0,0
282,15,1980,53,958,0,0,0,36,0,0
283,16,1980,71,1319,0,0,0,41,0,0
284,18,1980,74,1491,0,0,0,35,0,0
285,19,1980,57,1169,1,0,0,91,0,0
286,30,1980,53,981,0,0,0,46,0,0
287,20,1980,73,1415,0,0,0,57,0,0
288,22,1980,56,1281,1,0,0,98,0,0
289,23,1980,62,1180,2,0,0,90,0,0
290,24,1980,53,979,1,0,0,98,0,0
291,11,1980,57,1204,0,0,0,53,0,0
292,26,1980,88,1973,0,0,0,88,0,0
293,27,1980,73,1489,0,0,0,54,0,0
294,28,1980,65,1350,0,0,0,63,0,0
295,31,1980,63,1386,1,0,0,70,0,0
296,0,1981,45,909,1,27,1,92,0,4
297,1,1981,64,1214,0,27,3,56,0,2
298,2,1981,49,1056,0,27,3,78,1,2
299,3,1981,57,1085,0,24,0,36,0,2
300,4,1981,47,801,0,21,0,31,0,0
301,5,1981,72,1537,0,47,1,48,0,4
302,6,1981,46,912,0,23,1,40,0,1
303,7,1981,75,1625,0,50,3,67,0,1
304,8,1981,70,1422,0,36,1,47,0,4
305,9,1981,52,1043,0,29,3,48,0,2
306,10,1981,84,1651,0,41,2,46,0,4
307,12,1981,53,981,0,23,0,33,0,3
308,13,1981,54,1228,1,37,3,90,0,4
309,14,1981,43,832,0,19,2,43,0,2
310,15,1981,62,1419,0,44,3,52,0,3
311,16,1981,57,1120,0,29,1,41,1,3
312,18,1981,58,1151,0,32,1,42,0,3
313,19,1981,61,1164,0,27,0,36,0,1
314,30,1981,72,1722,2,36,8,96,0,1
315,20,1981,58,1066,0,25,1,52,0,2
316,22,1981,65,1190,0,33,0,32,0,1
