id,team_id,year,ret,yds,td,20_plus,40_plus,lng,fc,fum
171,16,1976,41,197,0,0,0,22,10,0
172,18,1976,40,289,1,0,0,60,2,0
173,19,1976,31,207,0,0,0,30,24,0
174,30,1976,48,504,1,0,0,69,12,0
175,20,1976,40,300,0,0,0,27,8,0
176,22,1976,48,628,2,0,0,89,0,0
177,23,1976,50,553,0,0,0,32,3,0
178,24,1976,52,476,0,0,0,25,3,0
179,11,1976,52,688,1,0,0,71,9,0
180,26,1976,42,375,0,0,0,67,14,0
181,27,1976,37,246,0,0,0,26,7,0
182,28,1976,71,636,0,0,0,36,2,0
183,31,1976,40,271,0,0,0,31,16,0
184,0,1977,48,292,0,0,0,60,5,0
185,1,1977,47,471,1,0,0,70,13,0
186,2,1977,41,328,0,0,0,70,10,0
187,3,1977,32,380,2,0,0,91,9,0
188,4,1977,58,712,1,0,0,87,8,0
189,5,1977,38,322,0,0,0,44,3,0
190,6,1977,48,359,0,0,0,36,3,0
191,7,1977,40,300,0,0,0,23,4,0
192,8,1977,46,521,1,0,0,88,3,0
193,9,1977,36,236,0,0,0,19,3,0
194,10,1977,42,323,0,0,0,24,14,0
195,12,1977,61,545,0,0,0,38,16,0
196,13,1977,40,315,0,0,0,39,6,0
197,14,1977,50,518,0,0,0,48,5,0
198,15,1977,59,402,0,0,0,37,12,0
199,16,1977,46,446,1,0,0,68,13,0
200,18,1977,38,480,0,0,0,49,5,0
201,19,1977,42,345,1,0,0,87,13,0
202,30,1977,36,539,2,0,0,87,8,0
203,20,1977,38,321,1,0,0,75,13,0
204,22,1977,43,429,0,0,0,53,6,0
205,23,1977,37,373,0,0,0,23,6,0
206,24,1977,51,360,0,0,0,48,6,0
207,11,1977,57,452,0,0,0,43,8,0
208,26,1977,37,281,0,0,0,33,10,0
209,27,1977,32,217,0,0,0,31,4,0
210,28,1977,46,389,0,0,0,31,0,0
211,31,1977,58,346,0,0,0,44,7,0
212,0,1978,47,323,0,0,0,52,12,0
213,1,1978,41,286,1,0,0,73,22,0
214,2,1978,59,264,0,0,0,17,15,0
215,3,1978,40,375,1,0,0,82,9,0
216,4,1978,51,582,1,0,0,75,4,0
217,5,1978,39,317,0,0,0,42,17,0
218,6,1978,62,512,0,0,0,50,7,0
219,7,1978,51,395,1,0,0,70,9,0
220,8,1978,57,590,0,0,0,34,19,0
221,9,1978,45,488,0,0,0,55,4,0
222,10,1978,35,219,0,0,0,37,18,0
223,12,1978,63,502,0,0,0,23,12,0
224,13,1978,41,341,0,0,0,26,12,0
225,14,1978,48,416,1,0,0,57,11,0
226,15,1978,42,345,0,0,0,38,26,0
227,16,1978,48,274,0,0,0,31,9,0
228,18,1978,33,413,1,0,0,82,4,0
229,19,1978,47,430,0,0,0,35,11,0
230,30,1978,46,416,0,0,0,42,4,0
231,20,1978,46,393,0,0,0,48,13,0
232,22,1978,47,520,0,0,0,48,9,0
233,23,1978,47,310,0,0,0,24,12,0
234,24,1978,67,711,0,0,0,58,7,0
235,11,1978,54,527,1,0,0,80,17,0
236,26,1978,36,242,0,0,0,32,14,0
237,27,1978,40,342,0,0,0,42,5,0
238,28,1978,58,451,0,0,0,24,2,0
239,31,1978,49,239,0,0,0,47,11,0
240,0,1979,44,314,0,0,0,33,8,0
241,1,1979,39,334,1,0,0,77,18,0
242,2,1979,42,316,0,0,0,40,9,0
243,3,1979,38,318,0,0,0,32,11,0
244,4,1979,43,401,0,0,0,44,8,0
245,5,1979,41,345,0,0,0,47,14,0
246,6,1979,71,438,0,0,0,17,2,0
247,7,1979,48,368,0,0,0,77,18,0
248,8,1979,52,488,0,0,0,27,9,0
249,9,1979,58,612,2,0,0,88,10,0
250,10,1979,49,391,1,0,0,75,12,0
251,12,1979,51,334,0,0,0,17,15,0
252,13,1979,34,337,1,0,0,86,27,0
253,14,1979,57,544,0,0,0,38,8,0
254,15,1979,26,188,0,0,0,60,15,0
255,16,1979,28,109,0,0,0,13,17,0
256,18,1979,36,314,0,0,0,51,10,0
257,19,1979,45,372,0,0,0,31,11,0
258,30,1979,38,221,0,0,0,36,8,0
259,20,1979,28,141,0,0,0,19,13,0
260,22,1979,37,311,1,0,0,80,22,0
261,23,1979,35,179,0,0,0,20,7,0
262,24,1979,58,330,0,0,0,30,19,0
263,11,1979,33,271,0,0,0,52,14,0
264,26,1979,30,231,0,0,0,33,16,0
265,27,1979,34,281,0,0,0,30,6,0
266,28,1979,63,523,0,0,0,38,11,0
267,31,1979,57,288,0,0,0,42,9,0
268,0,1980,45,409,2,0,0,57,5,0
269,1,1980,41,277,0,0,0,25,12,0
270,2,1980,39,252,0,0,0,42,8,0
271,3,1980,39,259,0,0,0,17,12,0
272,4,1980,42,408,0,0,0,34,6,0
273,5,1980,35,170,0,0,0,15,7,0
274,6,1980,57,313,0,0,0,19,2,0
275,7,1980,50,399,1,0,0,57,14,0
276,8,1980,41,335,0,0,0,31,13,0
277,9,1980,40,581,2,0,0,75,8,0
