id,team_id,year,net_yds,punts,yds,in_20,oob,dn,tb,fc,ret,rety,td,p_blk
144,16,1975,2909,86,3353,0,13,18,4,12,39,364,1,0
145,18,1975,1808,59,2156,0,4,11,7,12,22,208,1,3
146,19,1975,2551,81,3395,0,9,9,16,5,41,524,1,1
147,30,1975,2390,74,2906,0,7,6,8,6,47,356,0,0
148,20,1975,3063,95,3404,0,15,12,6,14,45,221,0,3
149,22,1975,2470,83,3223,0,11,5,12,13,42,513,1,0
150,23,1975,2394,68,2979,0,6,7,16,4,35,265,0,0
151,24,1975,2288,73,2874,0,8,6,9,5,45,406,0,0
152,11,1975,2564,72,2924,0,8,6,6,13,39,240,0,0
153,26,1975,2781,92,3776,0,7,5,16,0,61,675,1,3
154,28,1975,2358,69,2717,0,12,9,8,3,36,199,0,1
155,31,1975,2378,73,2997,0,5,8,10,1,47,419,0,2
156,0,1976,3083,89,3634,17,16,9,10,2,52,351,0,2
157,1,1976,3220,99,3726,20,12,15,8,20,44,346,0,1
158,2,1976,2556,76,2999,12,19,3,6,7,41,323,1,0
159,3,1976,2520,86,3678,16,13,5,14,2,52,878,2,1
160,4,1976,2513,83,2945,9,18,16,3,3,43,372,1,1
161,5,1976,1981,66,2578,9,7,2,4,8,45,517,2,3
162,6,1976,2805,92,3619,12,4,10,3,4,71,754,1,0
163,7,1976,1787,64,2331,12,11,5,12,3,33,304,1,2
164,8,1976,2335,80,3176,17,13,7,12,3,45,601,1,2
165,9,1976,2256,67,2792,15,5,10,8,5,39,376,1,1
166,10,1976,2051,59,2342,20,8,10,3,5,33,231,0,0
167,12,1976,2247,72,2739,15,13,10,12,9,28,252,0,2
168,13,1976,1994,62,2366,14,9,8,5,6,34,272,0,0
169,14,1976,2900,94,3445,23,17,7,7,10,53,405,0,3
170,15,1976,3653,101,4253,28,8,9,12,20,52,360,0,0
171,16,1976,2354,74,3054,11,14,4,10,1,45,500,0,3
172,18,1976,2640,81,3218,13,7,8,6,5,55,458,1,0
173,19,1976,2898,84,3296,16,7,17,6,15,39,278,0,1
174,30,1976,2790,99,3529,13,14,8,4,13,60,659,0,1
175,20,1976,2706,83,3074,17,10,10,5,10,48,268,0,1
176,22,1976,2160,67,2688,12,7,4,12,7,37,288,0,0
177,23,1976,2221,67,2785,13,9,3,15,2,38,264,0,0
178,24,1976,2605,77,3006,16,5,10,6,17,39,281,0,2
179,11,1976,2960,90,3503,15,13,9,11,13,44,323,0,0
180,26,1976,3132,101,3974,14,12,10,5,10,64,742,1,0
181,27,1976,2450,80,3067,13,7,10,4,3,56,537,1,2
182,28,1976,2516,76,2982,22,16,7,13,4,36,206,0,0
183,31,1976,2172,69,2678,5,7,7,11,4,40,286,0,0
184,0,1977,2277,77,2801,10,9,11,4,6,47,444,0,3
185,1,1977,2876,80,3232,17,5,11,7,15,42,216,0,2
186,2,1977,2570,69,2890,18,12,10,3,6,38,260,0,1
187,3,1977,2425,81,3229,14,17,9,10,3,42,604,0,2
188,4,1977,3066,91,3563,19,7,14,5,10,55,397,0,0
189,5,1977,1801,62,2419,23,18,9,3,1,31,558,3,0
190,6,1977,3359,98,3948,16,5,10,6,6,71,469,0,1
191,7,1977,2331,71,2608,16,3,16,6,13,33,157,0,1
192,8,1977,2269,72,2707,10,17,6,3,6,40,378,0,1
193,9,1977,2707,88,3510,11,6,13,5,14,50,703,0,1
194,10,1977,2481,82,3142,19,14,10,9,5,44,481,1,2
195,12,1977,2735,82,3215,27,22,6,10,8,36,280,1,1
196,13,1977,1852,57,2139,14,5,11,1,11,29,267,0,1
197,14,1977,3119,93,3463,22,12,17,5,14,45,244,0,2
198,15,1977,3593,106,4372,20,15,15,13,5,58,519,0,0
199,16,1977,3233,100,3993,19,11,14,4,4,67,680,0,0
200,18,1977,2227,76,2855,10,4,14,9,3,46,448,0,0
201,19,1977,3000,99,3655,6,11,4,6,16,62,535,1,2
202,30,1977,2510,77,3030,12,7,8,9,7,46,340,0,2
203,20,1977,2900,85,3391,16,11,8,9,4,53,311,0,1
204,22,1977,1964,65,2354,14,8,12,6,6,33,270,0,3
205,23,1977,2055,59,2552,11,10,3,14,1,31,217,0,0
206,24,1977,2292,73,2568,11,11,10,8,15,29,116,0,0
207,11,1977,3194,91,3502,29,13,17,4,7,50,228,0,0
208,26,1977,2745,85,3569,11,6,8,11,9,51,604,2,2
209,27,1977,1961,62,2430,10,4,10,4,2,42,389,0,2
210,28,1977,2171,72,2651,14,15,6,5,12,34,380,1,1
211,31,1977,2595,83,3302,19,15,12,10,4,42,507,1,0
212,0,1978,3067,96,3583,15,14,12,8,16,46,356,0,1
213,1,1978,3094,96,3549,18,4,16,8,23,45,295,0,0
214,2,1978,3243,95,4027,27,13,9,11,4,58,564,0,0
215,3,1978,2751,87,3373,19,6,16,9,8,48,442,1,2
216,4,1978,3148,96,3494,23,6,15,6,21,48,226,0,0
217,5,1978,2563,79,3089,16,12,12,8,6,41,366,0,0
218,6,1978,3365,100,4092,20,10,10,14,4,62,447,0,2
219,7,1978,3080,101,3815,19,10,13,8,11,59,575,0,1
220,8,1978,2204,73,2720,22,13,6,8,9,37,356,1,2
221,9,1978,2569,79,3247,18,10,8,7,4,50,538,0,1
222,10,1978,2873,92,3513,17,14,6,9,10,53,460,0,2
223,12,1978,2545,76,3076,16,9,3,11,13,40,311,0,1
224,13,1978,2780,81,3263,22,9,11,9,10,42,303,0,0
