id,team_id,year,xp_md,xp_pct,2pt_md,fg_lng,fg_blk
253,14,1979,36,92.3,0,59,1
254,15,1979,31,83.8,0,48,1
255,16,1979,28,96.6,0,49,0
256,18,1979,35,83.3,0,42,2
257,19,1979,25,96.2,0,46,1
258,30,1979,41,95.4,0,51,1
259,20,1979,24,80.0,0,46,0
260,22,1979,46,93.9,0,47,2
261,23,1979,41,91.1,0,47,1
262,24,1979,36,92.3,0,49,5
263,11,1979,39,100.0,0,53,1
264,26,1979,44,95.6,0,44,1
265,27,1979,43,93.5,0,49,2
266,28,1979,50,96.2,0,46,1
267,31,1979,28,90.3,0,44,1
268,0,1980,33,84.6,0,47,1
269,1,1980,35,94.6,0,44,0
270,2,1980,27,96.4,0,42,1
271,3,1980,37,94.9,0,49,3
272,4,1980,32,97.0,0,57,1
273,5,1980,39,88.6,0,45,0
274,6,1980,31,96.9,0,43,2
275,7,1980,35,94.6,0,43,0
276,8,1980,46,95.8,0,53,1
277,9,1980,37,100.0,0,57,0
278,10,1980,43,93.5,0,46,0
279,12,1980,59,98.3,0,52,0
280,13,1980,32,100.0,0,48,1
281,14,1980,48,100.0,0,51,0
282,15,1980,46,93.9,0,50,1
283,16,1980,27,96.4,0,51,0
284,18,1980,36,100.0,0,49,1
285,19,1980,35,97.2,0,52,3
286,30,1980,31,91.2,0,46,1
287,20,1980,24,85.7,0,50,2
288,22,1980,51,100.0,0,44,2
289,23,1980,41,93.2,0,48,1
290,24,1980,51,98.1,0,47,2
291,11,1980,27,90.0,0,52,0
292,26,1980,33,91.7,0,47,1
293,27,1980,33,100.0,0,50,0
294,28,1980,39,92.9,0,48,1
295,31,1980,33,86.8,0,47,1
296,0,1981,42,100.0,0,48,3
297,1,1981,29,93.6,0,43,1
298,2,1981,49,96.1,0,51,1
299,3,1981,37,100.0,0,46,0
300,4,1981,36,97.3,0,49,4
301,5,1981,31,96.9,0,39,4
302,6,1981,36,94.7,0,51,2
303,7,1981,36,97.3,0,47,0
304,8,1981,55,90.2,0,52,0
305,9,1981,37,97.4,0,52,0
306,10,1981,29,87.9,0,48,1
307,12,1981,40,100.0,0,47,0
308,13,1981,37,97.4,0,46,0
309,14,1981,41,95.4,0,50,0
310,15,1981,51,100.0,0,47,0
311,16,1981,31,100.0,0,55,0
312,18,1981,38,97.4,0,49,1
313,19,1981,46,100.0,0,53,0
314,30,1981,32,94.1,0,50,1
315,20,1981,35,97.2,0,53,0
316,22,1981,37,94.9,0,50,1
317,23,1981,27,81.8,0,51,0
318,24,1981,36,100.0,0,44,2
319,11,1981,38,90.5,0,49,1
320,26,1981,24,100.0,0,46,3
321,27,1981,37,92.5,0,54,1
322,28,1981,38,82.6,0,48,0
323,31,1981,34,91.9,0,45,0
324,0,1982,23,92.0,0,45,1
325,1,1982,16,100.0,0,51,1
326,2,1982,25,96.2,0,50,1
327,3,1982,15,88.2,0,49,1
328,4,1982,15,93.8,0,47,1
329,5,1982,17,100.0,0,46,3
330,6,1982,14,100.0,0,51,0
331,7,1982,15,93.8,0,48,0
332,8,1982,32,94.1,0,51,0
333,9,1982,17,100.0,0,47,0
334,10,1982,11,100.0,0,58,3
335,12,1982,28,100.0,0,53,0
336,13,1982,21,95.4,0,47,1
337,14,1982,23,92.0,0,47,0
338,15,1982,21,95.4,0,51,0
339,16,1982,18,100.0,0,45,0
340,18,1982,26,83.9,0,49,3
341,19,1982,19,100.0,0,49,1
342,30,1982,16,88.9,0,37,0
343,20,1982,25,92.6,0,48,1
344,22,1982,15,88.2,0,42,2
345,23,1982,32,97.0,0,43,1
346,24,1982,23,95.8,0,39,0
347,11,1982,16,84.2,0,48,0
348,26,1982,15,93.8,0,45,1
349,27,1982,13,92.9,0,48,1
350,28,1982,22,100.0,0,48,1
